species	dsGFP_1	dsGFP_2	dsGFP_3	dsGFP_5	dsCDC9_2	dsCDC9_3	dsCDC9_4	dsCDC9_5
Rhizobium_sp_Td3	3307282	1977332	274139	1273012	531211	1678200	1669392	18013889
Rhizobium_yanglingense	0	15516256	944358	1083292	1125342	3792109	8700404	40630357
Pannonibacter_sp_XCT_34	3935931	26742875	656321	3001499	3063672	1328133	2656111	17069194
Roseibium_suaedae	0	0	0	2461808	0	0	0	0
Stappia_sp_	654511162	1537768308	200585249	397019928	180283032	391831653	584423867	2093725106
Microbaculum_sp_A6E488	4552038	4686159	1087088	3458046	2269987	5657729	1300543	5466129
Ancylobacter_lacus	0	10752345	1833280	784883	976769	1832599	3802015	48411195
Henriciella_barbarensis	35940742	37816283	12169405	20859133	9980772	21707880	23909465	95244165
Euryhalocaulis_sp_	0	10559111	0	2210989	924106	0	0	0
Amphiplicatus_sp_	6787872	0	0	0	0	3612202	5490792	29528751
Parvularcula_mediterranea	5406237	62521704	2628961	22016398	7791442	7771735	11871526	52085111
Paracoccus_aminophilus	4562735	4380173	1221855	0	2027952	1228531	9364307	7737286
Pseudorhodobacter_sp_E13	1849480928	4253515780	533215903	1084418787	484258255	1027279446	1638703881	6480377223
Jannaschia_sp_AI_61	41533122	123816401	17040233	30420960	22232090	44609865	36946336	141068528
Sulfitobacter_porphyrae	89909630	167391397	20250701	42001107	20656966	33068857	70033639	274695564
Acetobacter_sp_CAG_977	8950264	19206395	4556138	30253659	9903163	21948075	20420093	103065550
Acidiphilium_sp_34_64_41	2278219	0	769232	0	1468225	1553079	0	9849420
Commensalibacter_sp_W8163	3594590	17634943	1344535	3050819	1911303	2424628	2837528	38971510
Dongia_soli	1418010	1720874	724393	2210989	463368	1463809	0	12447720
Aestuariispira_insulae	8028803	4769409	327661	10473998	0	2000721	0	4142642
Magnetovibrio_sp_	3324975680	7633164066	864824254	1893241475	858645082	1616589158	2445058545	11377192388
Varunaivibrio_sulfuroxidans	16780920	18316333	4160827	3623505	2378924	2288807	5557831	70243183
Elstera_litoralis	0	6658006	3267292	5226054	2189779	2778010	0	24075697
Magnetospirillum_sp_WYHS_4	9194744177	21871578444	2694300052	6009603854	2307509436	4711789242	6157967141	39527011282
Roseospira_goensis	4994852	8368360	0	5210024	384791	5639280	4279307	11651539
Telmatospirillum_sp_	3889796	4686159	0	4927747	622394	876633	644304	19757432
Candidatus_Terasakiella_magnetica	15059434	68844204	8338965	9964379	8499628	12912706	16753319	131574908
Terasakiella_sp_A23	2199847	3845888	1179584	2447918	0	434497	4225013	8188526
Thalassospira_sp_TSL5_1	7796239	2451194	2778794	3516017	982664	2761237	1025407	17812351
Thalassospiraceae_bacterium_LMO_SO8	9581710	6198577	3013173	7484474	1518070	3693982	11629978	35571791
Anaplasma_sp_	139994264	434178191	36298255	116577021	50731981	90518000	162862862	1026794241
Ehrlichia_minasensis	14466554	56937489	5411103	11982294	6424476	8270602	14137320	73352950
Ehrlichia_ruminantium	1792116	0	0	0	0	0	1833197	0
Wolbachia_endosymbiont_of_Andrena_agilissima	5726990	8489880	143520	2670200	1116654	1768909	0	26855299
Wolbachia_endosymbiont_of_Andrena_nigroaenea	7226303	0	715126	4884388	0	965052	0	9146722
Wolbachia_endosymbiont_of_Anopheles_demeilloni	5235645	15268746	3126731	2661047	2790416	9810038	6130603	0
Wolbachia_endosymbiont_of_Armadillidium_vulgare	6490307	15291267	4825448	7947306	3546754	13356369	10472974	0
Wolbachia_endosymbiont_of_Bemisia_tabaci	6843260	12378430	944358	2584016	361795	2658077	8700404	0
Wolbachia_endosymbiont_of_Carposina_sasakii	23559541	29500541	13635719	12897024	6997511	33520680	28613594	0
Wolbachia_endosymbiont_of_Chrysomya_megacephala	30338260	89277862	18478801	19195132	8365702	36021913	35852985	1092708
Wolbachia_endosymbiont_of_Ctenocephalides_felis_wCfeF	5482300	11370535	4770328	4144363	2352187	3140555	10831606	0
Wolbachia_endosymbiont_of_Culex_quinquefasciatus	176450675	555338326	168746445	148765855	93335403	292761254	360547285	11474866
Wolbachia_endosymbiont_of_Delia_radicum	5174175	5736349	2341886	2719041	2267823	8225173	6693018	0
Wolbachia_endosymbiont_of_Diaphorina_citri	65481489	159875641	44172629	56002972	26378577	84616625	103387115	2100881
Wolbachia_endosymbiont_of_Drosophila_biauraria	4348057	22437532	4116373	4515559	1891266	7655791	7499888	0
Wolbachia_endosymbiont_of_Drosophila_mauritiana	8535833	20583203	8364636	8638524	3739250	16635683	16273728	0
Wolbachia_endosymbiont_of_Frankliniella_intonsa	3990003	5501740	3286353	3041639	1815158	2684823	3473199	0
Wolbachia_endosymbiont_of_Halictus_tumulorum	6659532	24049325	8145881	13335398	5483736	12794864	21873681	13229715
Wolbachia_endosymbiont_of_Homalodisca_vitripennis	6578200187	15261488489	3645048463	4990623705	2226160756	6440536034	7869109031	12427638262
Wolbachia_endosymbiont_of_Melophagus_ovinus	7517341	40399335	2004023	12330166	1891266	4984417	0	0
Wolbachia_endosymbiont_of_Oryzaephilus_surinamensis	208110545	647200641	183845358	180738707	95881360	281188546	407369141	128193269
Wolbachia_endosymbiont_of_Ostrinia_furnacalis	3210935	0	2728647	1236891	516095	6487458	4934793	0
Wolbachia_endosymbiont_of_Pissodes_strobi	216971972	556032230	76454826	193857614	98291349	108856157	251286694	993590222
unclassified_Wolbachia	842039197	2149613743	633775639	735779212	387293044	1332638087	1536712573	111943120
unclassified_Anaplasmataceae	64482092	210427163	17799782	76315296	21958738	54221918	76132154	224458488
Candidatus_Cyrtobacter_comes	3307282	0	0	0	0	1120525	0	0
Rickettsia_endosymbiont_of_Bembidion_nr_Transversale	19302661	66679737	10144353	39691642	21809476	16113870	33118364	130052307
Rickettsia_endosymbiont_of_Cimex_lectularius	7259532	10773996	3409570	4829198	1535983	5149307	7570038	96884981
Rickettsiales_endosymbiont_of_Stachyamoeba_lipophora	27273054	55561455	13058110	13941497	9539306	14959159	20223590	87901587
Erythrobacter_longus	21702690	16044099	4014156	10905858	7478633	12291145	13567897	82873040
Erythrobacter_sp_SCN_62_14	1037091	3836702	0	0	0	2151124	2148973	9087722
Qipengyuania_sp_S6317L1	14019586	12505035	5245403	9055013	8387469	9732500	16843149	37815698
Novosphingobium_sp_AS3R_12	1057436	5234009	2940874	7398822	2072338	3646802	0	43345124
Novosphingobium_sp_ZN18A2	54525174	146960659	22730528	61640516	23922595	35207399	45262146	360112893
Sphingomonas_sp_LT1P40	0	0	0	0	801738	331387	0	14775050
Polymorphobacter_arshaanensis	2429852	0	819954	5586975	393121	0	2480660	0
Sandarakinorhabdus_sp_	1037091	5134032	0	7260189	680858	5714990	3240890	47357479
Alphaproteobacteria_bacterium_MarineAlpha2_Bin1	1140957455	2884204053	356652660	672908746	250302212	563002519	646755846	4303965844
unclassified_Alphaproteobacteria	6.87E+12	1.59E+13	2.13E+12	4.15E+12	1.55E+12	3.33E+12	4.41E+12	2.91E+13
Alcaligenes_sp_13f	1172285	0	0	3786994	1263065	1215511	0	14995127
Burkholderia_sp_Ac_20345	0	0	0	608506	505312	534344	786027	0
Polynucleobacter_sp_35_46_11	4579746	18404374	4056531	4591653	4115003	3071799	4504201	20536370
Comamonas_sp_CAH_2	0	4309784	0	0	287411	606146	893581	0
Rhodoferax_sp_BAB1	1548606	3807369	0	0	710046	1081834	612206	11973112
Actimicrobium_sp_CCI2_3	2855046	1866147	697282	1997462	751476	0	1044651	4378870
Actimicrobium_sp_GrIS_1_19	398144	19840264	482781	2960599	3694394	6180212	1595551	38206237
Collimonas_sp_OK242	494774	0	0	0	1232788	175198	0	8789905
Collimonas_sp_OK412	0	1677321	232613	273463	564272	0	701463	2926031
Glaciimonas_sp_	0	2316127	105756	746912	929380	219686	642434	2676919
Herbaspirillum_hiltneri	1689012	5966027	352665	3315440	1561794	1515319	0	34198817
Herbaspirillum_sp_3C11	0	944954	0	310039	512450	0	0	6781991
Herbaspirillum_sp_SJZ099	0	1311557	0	851086	795494	188030	0	5837463
Herminiimonas_arsenicoxydans	913838	9591045	389814	0	559916	1861427	872527	19400659
Herminiimonas_contaminans	2022623532	5812562839	792355413	1853568677	2846254453	2034489012	2115208471	32864166133
Herminiimonas_fonticola	17870975	60406337	6849556	16846755	26389489	13536858	13023491	397872502
Herminiimonas_sp_KBW02	61054824	249221195	26744889	71594618	150144195	89126220	70805334	1883992077
unclassified_Herminiimonas	4282175	1815088	441561	1733977	1404207	807312	0	37719386
Janthinobacterium_sp_1_2014MBL_MicDiv	0	2843431	195525	458893	475511	803079	0	7570255
Janthinobacterium_sp_64	14227120	50044252	4533339	11947285	5870693	7762697	8984123	45801059
Janthinobacterium_sp_BJB303	1575509535	3042744196	514493497	1160054485	510869486	786321450	1412191945	5835473483
Janthinobacterium_sp_Marseille	25357049	33227956	12723769	25328004	46617337	28150018	31290673	597843934
Massilia_glaciei	2652271	7190139	689547	10104722	8913981	4258695	2787439	56894266
Noviherbaspirillum_sp_Root189	708556	2162897	1264329	1359432	1787512	371443	1272161	34276760
Oxalicibacterium_faecigallinarum	1655653	6096084	2492902	3592147	3181489	3203474	2840018	64980998
Undibacterium_hunanense	2429852	11954693	819954	0	0	0	2480660	0
unclassified_Undibacterium	4588200136	11426314846	1585878428	3120975294	1764326887	2694933725	4552098522	17936066126
Mitsuaria_sp_BK041	0	1369310	72508	1421248	2369919	1869263	1342828	26349604
Pelomonas_aquatica	0	0	0	617076	0	0	0	6781991
Rubrivivax_sp_	0	2784078	0	0	558478	0	0	9953584
Burkholderiales_bacterium_PBB3	0	5468184	148764	350822	435565	613421	0	2817603
Vogesella_sp_XCS3	6706435	8047583	0	0	0	2235155	1669392	14328703
Neisseriales_bacterium	601575085	1573732321	199439645	382500863	178688403	366033016	467197579	3223909913
Shewanella_ferrihydritica	20683678	41577614	4996445	15960343	8464915	12312131	24203288	111157852
Shewanella_shenzhenensis	8592144	38354769	706092	1083292	3360853	5207845	1415920	12128633
Cardiobacterium_hominis	1233403841	3003718125	391073059	679348990	299138538	658829944	899015339	5273217890
Thiogranum_longum	14466554	40256316	724393	3307085	1383857	9447322	1085375	23719593
Wenzhouxiangella_sp_15181	0	11954693	0	0	0	0	0	0
Citrobacter_amalonaticus	0	0	637586	0	0	1612077	4878295	0
Citrobacter_freundii_complex_sp_2022EL_00822	4587891	0	0	0	0	0	0	0
Citrobacter_koseri	10701583	0	0	0	0	0	0	0
Citrobacter_sp_A316	15986407	4727420	9558389	12318924	2514946	60057358	98403979	4105698
Citrobacter_sp_Awk_2	0	1853116	1254644	2030129	1364763	3301425	2209125	21621483
Citrobacter_sp_BDA59_3	8054518	4620605	14528940	19312779	5059279	87351185	128635723	43069922
Citrobacter_sp_CFNIH10	0	0	1646550	0	0	0	0	0
Citrobacter_sp_Cb043	6985726	0	0	0	0	0	0	0
Citrobacter_sp_Cm038	4717904	0	0	0	0	0	0	0
Citrobacter_sp_Igbk_14	0	0	1099865	0	0	0	0	0
Citrobacter_sp_TBCS_15	0	0	0	2229916	1550150	1312925	971682	12557798
Cronobacter_dublinensis	10546061	5158668	533842	4804815	2042994	1443075	3828687	40310260
Enterobacter_cloacae_complex_sp_2023EL_00494	0	0	0	0	0	0	16333582	0
Enterobacter_cloacae_complex_sp_2DZ2F16B1	7492205	0	0	0	0	0	28340780	0
Enterobacter_cloacae_complex_sp_P31C	0	0	1536336	0	0	0	0	0
Enterobacter_sp_638	0	0	0	0	0	0	3562707	0
Enterobacter_sp_BIDMC87	2403207	8836579	811043	1395304	1161492	3263896	0	18451107
Enterobacter_sp_BIDMC_30	4841314	0	0	0	0	0	0	0
Enterobacter_sp_BT223	0	0	3362349	0	0	0	0	0
Enterobacter_sp_GER_MD16_1505_Eko_090	2466301	6014022	8241701	1904106	2112804	26018329	46209749	0
Enterobacter_sp_HMSC055A11	7005622792	58388917	70796650	95846195	33171200	299586136	1156325074	226681355
Enterobacter_sp_JUb54	1735016	0	115447	0	0	0	701463	0
Enterobacter_sp_MGH_7	311019767	473563882	51725178	104892765	78515016	130166291	334669139	848800958
Enterobacter_sp_NIC22_4	1891916	0	149371	0	2037695	1002998	0	16006286
Enterobacter_sp_UNJFSC_003	640607	0	0	0	0	0	3028490	0
unclassified_Enterobacter	12948867	23514438	20866398	28398563	9114347	131561760	210214993	52889892
Huaxiibacter_chinensis	149727171	118344303	216918011	190817727	89760632	913003287	2011067643	726040805
Klebsiella_aerogenes	4276156	0	0	0	0	0	0	0
Klebsiella_michiganensis	717571084	3152910	0	1267052	684072	0	8819279	0
Klebsiella_oxytoca	83982822	0	429643	1412730	351713	1783232	3974957	1578707
Klebsiella_pasteurii	312198183	622315	0	942915	85434	0	0	0
Klebsiella_sp_1400	9212377	0	0	0	0	0	0	0
Klebsiella_sp_AS10	39626653	0	0	0	0	0	1337605	0
Klebsiella_sp_Ap_873	7134189	14353089	1982925	1799042	2616692	794746	6012716	4941163
Klebsiella_sp_BDA134_6	7927029	0	0	0	0	0	236417	0
Klebsiella_sp_CTHL_F3a	19865958	0	0	449496	0	0	0	0
Klebsiella_sp_CVUAS_10191_3	336138354	1853116	534402	0	0	0	4461410	1109033
Klebsiella_sp_CVUAS_10975_2	8596444	0	0	0	0	0	0	0
Klebsiella_sp_CVUAS_11263	4803844	0	0	0	0	0	498808	0
Klebsiella_sp_FDAARGOS_511	4031531	0	0	0	0	0	0	0
Klebsiella_sp_HMSC09D12	25503655	0	0	0	0	0	825286	0
Klebsiella_sp_JL973	32334924	0	616461	484203	0	0	0	0
Klebsiella_sp_JN_Kp126	109587941	0	206507	0	0	0	1464439	0
Klebsiella_sp_K4_170	315539686	302715548	488531125	471426665	266196129	2304727891	4415449663	1956237810
Klebsiella_sp_K5_204	13345103	553818	0	0	0	0	0	0
Klebsiella_sp_LTGPAF_6F	5486159	0	0	0	0	0	0	0
Klebsiella_sp_M581	3844719	0	211251	0	0	0	0	0
Klebsiella_sp_RHBSTW_00464	3757600	0	0	0	0	0	0	0
Klebsiella_sp_SG01	3711709	0	0	0	0	0	0	0
Klebsiella_sp_SORGH_AS_0826	5179736	0	0	0	0	0	0	0
unclassified_Klebsiella	23346517	0	0	0	0	0	0	0
Kosakonia_sp_CFBP8986	18872140	25529776	24903689	38880293	11803872	175902193	311797090	77189746
Salmonella_sp_17E594	377724883	376585373	49236363	112182115	64192231	121623950	240832154	1016394285
Salmonella_sp_2101	10787978	0	389814	1799042	1125342	1585310	7232776	0
Salmonella_sp_FORC89	5406237	0	0	0	0	1209104	0	0
Salmonella_sp_sc_h42	1456078	3564216	743662	1705000	475511	502822	0	3084095
Shigella_sp_FC1056	623762	5461839	755867	993879	723596	3478152	3281669	2676919
Erwinia_sp_QL_Z3	2739239	0	3275366	3884849	1451243	25404799	40665024	8222753
Pantoea_ananatis	19797277	19737574	20754879	26189684	13220030	112488611	221121523	58909922
Pantoea_brenneri	32256588	28206389	43069176	58708380	23775407	270456397	390536366	138855269
Pantoea_communis	4778820	0	2749788	0	0	0	0	0
Pantoea_soli	4717904	1112561	4076145	6595772	2914449	28692490	60991968	22584923
Pantoea_sp_AG702	12728891	14596518	16196706	17757541	8056765	65732338	152016324	49866560
Pantoea_sp_AMG_501	6923956	5509790	4775747	8394017	2283054	37374278	72742705	28653714
Pantoea_sp_B566	219430835	180328342	310417560	366092524	146784114	1690161539	3148006109	954611918
